Pr_Kennung,BW_Zuordnung,Alkane_Zuordg,File_name,Name,Sample Group,Acq_Date_Time
BW_2020_11_12,BW_2020_11_12,Alkane_2020_12_14,Sc_BW_2021_02_09_1L_LW_SPE_DCM.D,Sc_BW_1L_LW_SPE_DCM,,11/12/2020 15:04
32017607,BW_2020_11_12,Alkane_2020_12_14,Sc_32017607.D,Sc_32017607,,11/12/2020 15:46
32017608,BW_2020_11_12,Alkane_2020_12_14,Sc_32017608.D,Sc_32017608,,11/12/2020 16:28
32017609,BW_2020_11_12,Alkane_2020_12_14,Sc_32017609.D,Sc_32017609,,11/12/2020 17:10
32017610,BW_2020_11_12,Alkane_2020_12_14,Sc_32017610.D,Sc_32017610,,11/12/2020 17:52
BW_2020_11_19,BW_2020_11_19,Alkane_2020_12_14,Sc_BW_2020_11_19_1L_AT.D,Sc_BW_1l_AT_DCM_2020_11_11,,11/19/2020 12:44
BW_2020_12_10,BW_2020_12_10,Alkane_2020_12_14,Sc_BW_2020_12_10_AT_DCM_1L.D,Sc_BW_AT_DCM_1L,,12/10/2020 17:18
42008477,BW_2020_12_10,Alkane_2020_12_14,Sc_42008477_AT_DCM_1L.D,Sc_42008477_AT_DCM_1L,,12/10/2020 18:00
42008478,BW_2020_12_10,Alkane_2020_12_14,Sc_42008478_AT_DCM_1L.D,Sc_42008478_AT_DCM_1L,,12/10/2020 19:24
12011647,BW_2020_12_10,Alkane_2020_12_14,Sc_12011647_AT_DCM_1L.D,Sc_12011647_AT_DCM_1L,,12/11/2020 11:39
62005831,BW_2020_12_10,Alkane_2020_12_14,Sc_62005831_AT_DCM_1L.D,Sc_62005831_AT_DCM_1L,,12/11/2020 13:03
BW_2020_12_16,BW_2020_12_16,Alkane_2020_12_14,Sc_BW_2020_12_16_AT_DCM_500ml.D,Sc_BW_AT_DCM_500ml_2020_12_14,,12/15/2020 23:39
72003054,BW_2020_12_16,Alkane_2020_12_14,Sc_72003054_AT_DCM_500ml_2020_12_14.D,Sc_72003054_AT_DCM_500ml_2020_12_14,,12/16/2020 0:21
BW_2021_01_15,BW_2021_01_15,Alkane_2020_12_14,Sc_BW_2021_01_15.D,Sc_BW_21_01_12,,1/15/2021 2:59
62100124,BW_2021_01_15,Alkane_2020_12_14,Sc_62100124_500ml.D,Sc_62100124_500ml,,1/15/2021 3:41
42100353,BW_2021_01_15,Alkane_2020_12_14,Sc_42100353_500ml.D,Sc_42100353_500ml,,1/15/2021 4:23
42100355,BW_2021_01_15,Alkane_2020_12_14,Sc_42100355_500ml.D,Sc_42100355_500ml,,1/15/2021 5:05
BW_2021_01_15_2,BW_2021_01_15_2,Alkane_2020_12_14,Sc_BW_2021_01_15b.D,Sc_BW_21_01_14,,1/15/2021 5:47
82101635,BW_2021_01_15_2,Alkane_2020_12_14,Sc_82101635_100ml.D,Sc_82101635_100ml,,1/15/2021 6:29
82101637,BW_2021_01_15_2,Alkane_2020_12_14,Sc_82101637_100ml.D,Sc_82101637_100ml,,1/15/2021 7:11
