Pr_Kennung,Thema,LM,Vorbereitung_Meth,RT_IS_Pr,RI_IS_Pr,IS_Area_Peak,IS_Area_BasePeak,V_Extraktion_mL,Verdg_im_Vial,IS_Volumen_ml,InjektionsVolumen_ml,
BW_2020_11_12,,DCM,SPE,15.0051,1379,3297434,1130599,1000,1,0.05,0.001,
32017607,IWW + Tesla,DCM,SPE,14.9952,1378,5110323,2115927,1000,1,0.05,0.001,
32017608,IWW + Tesla,DCM,SPE,14.9889,1378,5562055,2238932,1000,1,0.05,0.001,
32017609,IWW + Tesla,DCM,SPE,14.9940,1378,5677833,2284602,1000,1,0.05,0.001,
32017610,IWW + Tesla,DCM,SPE,14.9931,1378,3527226,1408693,1000,1,0.05,0.001,
BW_2020_12_10,,DCM,SPE,15.0118,1379,3846538,1504375,1000,1,0.05,0.001,
42008477,Tesla,DCM,SPE,14.9846,1378,5159022,1943974,1000,1,0.05,0.001,
42008478,Tesla,DCM,SPE,14.9851,1378,4614369,1584501,1000,1,0.05,0.001,
12011647,Tesla,DCM,SPE,14.9832,1378,4544756,1477901,1000,1,0.05,0.001,
62005831,Tesla,DCM,SPE,14.9832,1378,4394392,1733028,1000,1,0.05,0.001,
BW_2020_12_16,,DCM,SPE,15.0504,1382,2266675,804559,1000,1,0.05,0.001,
72003054,Tesla,DCM,SPE,14.9856,1378,1900247,552465,500,2,0.025,0.001,
42100353,Tesla,DCM,SPE,14.9835,1378,2289160,770390,500,2,0.025,0.001,
42100355,Tesla,DCM,SPE,14.9867,1378,2865327,900685,500,2,0.025,0.001,
62100124,Tesla,DCM,SPE,14.9820,1378,3461206,855683,500,2,0.025,0.001,
BW_2021_01_15,,DCM,SPE,14.9891,1378,3387843,1311841,1000,1,0.05,0.001,
12100459,Tesla,DCM,SPE,14.9891,1378,4720465,1663166,500,1,0.05,0.001,
12100460,Tesla,DCM,SPE,15.0001,1379,2714652,879464,500,1,0.05,0.001,
72100121,Tesla,DCM,SPE,14.9922,1378,3057714,978623,500,1,0.05,0.001,
BW_2021_01_15_2,,DCM,gesch,15.0694,1383,2327548,913480,500,1,0.05,0.001,
82101635,Tesla,DCM,gesch,14.9886,1378,2587110,1119758,100,5,0.05,0.001,
82101637,Tesla,DCM,gesch,14.9839,1378,2122780,456704,100,5,0.05,0.001,
BW_2021_01_22,,DCM,gesch,15.0694,1383,2327548,913480,500,1,0.05,0.001,
82101636,Tesla,DCM,gesch,14.9918,1378,3986684,1627059,100,5,0.05,0.001,
82101638,Tesla,DCM,gesch,14.9965,1378,2198563,820693,100,5,0.05,0.001,
BW_2021_02_08,,DCM,gesch,15.0934,1385,6727035,2665652,500,1,0.05,0.001,
RefPr_0001,,DCM,gesch,15.0206,1380,2684376,937709,1000,1,0.05,0.001,
62100315,Tesla+N war hoch - Havariemessung,DCM,gesch,15.0315,1381,2800705,632257,1000,1,0.05,0.001,
BW_2021_02_08_2,,DCM,gesch,15.0934,1388,6727035,2665652,500,1,0.05,0.001,
82101720,Tesla,DCM,gesch,14.9719,1380,88268,69723,100,20,0.5,0.001,
82101721,Tesla,DCM,gesch,14.9519,1378,2977286,1162283,100,5,0.05,0.001,
BW_2021_02_15,,DCM,SPE,14.9751,1380,3839536,1330564,1000,1,0.05,0.001,
42101145,Tesla,DCM,SPE,14.9664,1379,2997728,1084790,500,1,0.05,0.001,
42101146,Tesla,DCM,SPE,14.9558,1379,5911508,2146908,500,1,0.05,0.001,
BW_2021_02_22,,DCM,SPE,15.0055,1382,2724784,1140225,1000,1,0.05,0.001,
62100459,Tesla,DCM,SPE,15.0018,1382,3699897,1564163,500,1,0.05,0.001,
72100318,Tesla,DCM,SPE,15.0025,1382,3403841,1314336,500,1,0.05,0.001,
BW_2021_03_15,,DCM,SPE,15.0048,1382,3160754,1320365,1000,1,0.05,0.001,
72100530,Tesla,DCM,SPE,15.0010,1382,2918702,1027614,500,1,0.05,0.001,
42102338,Tesla,DCM,SPE,15.0005,1382,3477982,1267086,500,1,0.05,0.001,
42102340,Tesla,DCM,SPE,14.9996,1382,2979241,1116683,500,1,0.05,0.001,
62100748,Tesla,DCM,SPE,14.9987,1382,4047416,1501414,500,1,0.05,0.001,
12102268,Tesla,DCM,SPE,14.9986,1382,2855272,1093215,500,1,0.05,0.001,
BW_2021_03_15_2,,DCM,gesch,15.0014,1382,5483039,2253317,500,1,0.05,0.001,
82101928,Tesla,DCM,gesch,14.9997,1382,3846895,1550269,100,5,0.05,0.001,
BW_2021_03_22_2,,DCM,gesch,15.0011,1382,3997609,1764585,500,1,0.05,0.001,
82101929,Tesla,DCM,gesch,15.0095,1382,4608700,1841500,100,5,0.05,0.001,
BW_2021_04_12,,DCM,SPE,15.0011,1382,4639941,1845469,1000,1,0.05,0.001,
72100736,Tesla,DCM,SPE,14.9979,1382,4443550,1549452,500,1,0.05,0.001,
12102940,Tesla,DCM,SPE,14.9987,1382,4646252,1621521,500,1,0.05,0.001,
12102914,Tesla,DCM,SPE,14.9989,1382,7143340,2460888,500,1,0.05,0.001,
BW_2021_04_28,,DCM,SPE,14.9996,1381,2545430,922775,1000,1,0.05,0.001,
62101073,Tesla,DCM,SPE,14.9958,1380,4092862,1565025,500,1,0.05,0.001,
42103369,Tesla,DCM,SPE,14.9962,1380,4192156,1395278,500,1,0.05,0.001,
42103368,Tesla,DCM,SPE,14.9970,1380,3241791,1106859,500,1,0.05,0.001,
62101073_2,Tesla,ETAC,SPE,15.0150,1381,5868652,2171137,500,1,0.05,0.001,
BW_2021_04_15_3,,DCM,gesch,14.9980,1382,7056484,2876827,500,1,0.05,0.001,
82102189,Tesla-Braun/Melsungen,DCM,gesch,14.9998,1382,4126112,1587566,100,5,0.05,0.001,
82102185,Tesla-Braun/Melsungen,DCM,gesch,15.0070,1382,8543293,3270272,100,5,0.05,0.001,
82102190,Tesla-Braun/Melsungen,DCM,gesch,15.0001,1382,2799606,1398403,100,10,0.05,0.001,
BW_2021_05_03,,DCM,gesch,15.0079,1381,11397605,4359422,500,1,0.05,0.001,
82101632,Tesla,DCM,gesch,15.0085,1381,5531939,2049660,100,10,0.05,0.001,
BW_2021_05_06,,ETAC,SPE,15.0139,1381,7954448,3169758,1000,1,0.05,0.001,
12103707,Tesla,ETAC,SPE,15.0147,1381,13301424,5034820,500,1,0.05,0.001,
42104170,Tesla,ETAC,SPE,15.0137,1381,10264807,3840422,500,1,0.05,0.001,
42104171,Tesla,ETAC,SPE,15.0138,1381,7366472,2643568,500,1,0.05,0.001,
BW_2021_05_20,,ETAC,SPE,15.0106,1382,6770070,2635699,1000,1,0.05,0.001,
62101303,Tesla,ETAC,SPE,15.0114,1382,7093056,2561944,500,1,0.05,0.001,
72101014,Tesla,ETAC,SPE,15.0117,1382,7415940,2570065,500,1,0.05,0.001,
BW_2021_05_20_3,,DCM,gesch,15.0078,1381,11397605,4359422,500,1,0.05,0.001,
82101632,Tesla,DCM,gesch,15.0085,1381,5252378,2049660,100,5,0.05,0.001,
42103367,Tesla,DCM,gesch,15.0065,1381,3731670,1359301,100,5,0.05,0.001,
BW_2021_06_06,,ETAC,SPE,15.0108,1382,3927628,1530492,1000,1,0.05,0.001,
12104438,Tesla,ETAC,SPE,15.0098,1381,6213100,2249961,500,1,0.05,0.001,
BW_2021_06_06_2,,DCM,gesch,15.0060,1381,7644458,3051301,500,1,0.05,0.001,
82102230,Tesla,DCM,gesch,15.0082,1381,4186056,1665888,100,5,0.05,0.001,
