Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.11248255059323,69.0999984741211,27458-90-8,2739,787.153589945088,61.5833806672257,"Disulfide, di-tert-dodecyl",C24H50S2,NIST17.L,1237413.18128726,76647.749712912,Sample,72100121
True,4.26727218520752,132,23138-58-1,,795.053808199708,54.4211500516292,3-Ethylphenyl isocyanate,C9H9NO,NIST20.L,16323.311990949,2627.3923553594,Sample,72100121
True,4.3592702597175,191,1000357-63-6,2032,799.749244489384,86.3549770527028,"5-Fluoro-2-trifluoromethylbenzoic acid, 4-nitrophenyl ester",C14H7F4NO4,NIST17.L,327637.025288693,235835.24715332,Sample,72100121
True,4.49091581764586,207.899993896484,487-12-7,1645,806.468225656804,72.7463529142146,Isoelemicin,C12H16O3,NIST17.L,3506352.38212821,279195.187866085,Sample,72100121
True,4.57238137087114,97,13511-45-0,976,810.626098710234,55.3199824200245,N-Fluoroiminomalonic nitrile,C3FN3,NIST17.L,14528.6511495519,4139.79135876467,Sample,72100121
True,4.69910704655244,206.900009155273,541-05-9,851,817.093976865262,79.863507611806,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,1072753.25053487,232000.655248049,Sample,72100121
True,4.89539140540447,123,1000129-16-4,1496,827.112020248872,51.8327187064972,"3,3-Dimethylpiperidin-6-one[2,1-e]-4-methylimidazole",C10H14N2O,NIST17.L,5554.7644639818,13595.9717592163,Sample,72100121
True,4.92989177870537,132,19485-35-9,1385,828.872864762926,52.7613785930484,"Imidazole, 4,5-dicyano-1-methyl-",C6H4N4,NIST17.L,95873.510663061,5221.31460899393,Sample,72100121
True,5.31256734117702,101,696-59-3,892,848.404020526481,84.1887147843156,"Furan, tetrahydro-2,5-dimethoxy-",C6H12O3,NIST17.L,163836.64655775,29383.6915146277,Sample,72100121
True,5.62018986897183,91,1000420-28-7,1892,864.104588046216,64.704050969786,"Carbonic acid, monoamide, N-hexyl-, benzyl ester",C14H21NO2,NIST17.L,79554.8706696836,39216.9137836611,Sample,72100121
True,5.63485213305896,124,36431-60-4,1040,864.852926826677,67.7262419505858,5-Ethylcyclopent-1-enecarboxaldehyde,C8H12O,NIST17.L,245118.989586301,55281.4214024115,Sample,72100121
True,5.64073987475706,93,24071-59-8,684,865.153427855429,69.1435087955408,"Cyclopropane, 1-bromo-1-chloro-2-fluoro-",C3H3BrClF,NIST17.L,131321.093584018,20166.0268662691,Sample,72100121
True,5.6816063081849,101,696-59-3,892,867.239186014703,78.8655711448739,"Furan, tetrahydro-2,5-dimethoxy-",C6H12O3,NIST17.L,122058.217379143,26194.8285344155,Sample,72100121
True,5.68162492849061,72.0999984741211,628-30-8,881,867.240136365672,62.3288278450155,"Propane, 1-isothiocyanato-",C4H7NS,NIST17.L,86293.430154626,21663.9386371353,Sample,72100121
True,5.78769280922059,207,33484-45-6,1952,872.653673322845,55.7869533283632,"4H-Pyrido[1,2-a]pyrimidine-3-carboxamide, 6,7,8,9-tetrahydro-6-methyl-4-oxo-",C10H13N3O2,NIST17.L,33191.0530186565,97761.7943046874,Sample,72100121
True,5.91912596232236,76.0999984741211,1071-98-3,927,879.361813683692,60.3000513576947,2-Butynedinitrile,C4N2,NIST17.L,47356.3229001273,25946.9369454513,Sample,72100121
True,6.13616710368449,84,814-78-8,643,890.439250433674,90.2476391313574,"3-Buten-2-one, 3-methyl-",C5H8O,NIST17.L,343899.994349294,172721.910592277,Sample,72100121
True,6.17204753368029,51,109-78-4,807,892.2705308598,80.3183555816748,"Propanenitrile, 3-hydroxy-",C3H5NO,NIST17.L,79070.4883709217,6304.64472414517,Sample,72100121
True,6.41311579724904,70.0999984741211,54278-24-9,1129,904.574273944414,67.2577731481376,S-(2-Formylisopropyl)thioacetate,C6H10O2S,NIST17.L,44488.8382220146,15488.2468274002,Sample,72100121
True,6.53082918639567,151,277325-94-7,2565,910.582179241604,54.1191113506368,"Propenone, 1-(4-iodophenyl)-3-(4-methyl-2-pyrimidylthio)-",C14H11IN2OS,NIST17.L,15274.5326089265,6951.19203012087,Sample,72100121
True,6.93510336441903,97.0999984741211,1678-82-6,981,931.21569419918,86.2099923132495,"Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-",C10H20,NIST17.L,337498.030603518,145929.642982283,Sample,72100121
True,7.28067791727557,105,26187-27-9,1134,948.853273082367,66.0966197598769,"(1H)Pyrrole-3-carbonitrile, 2-methyl-",C6H6N2,NIST17.L,128423.664810896,27082.4036043896,Sample,72100121
True,7.45992729656676,193,21868-43-9,2524,958.001878038599,71.8413641468296,"s-Triazine, 2-amino-4-(piperidinomethyl)-4-piperidino-",C14H24N6,NIST17.L,413991.621756424,162842.550011231,Sample,72100121
