Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.09917466861099,111,101883-26-5,,776.521959289731,55.9697660292181,Bis(2-ethylhexyl) ethylphosphonate,C18H39O3P,NIST20.L,730677.054464802,233810.811131293,Sample,72101388
True,4.1011728057994,55.0999984741211,1073-11-6,1043,776.625862527432,55.8092980777073,"2(3H)-Furanone, 5-ethenyldihydro-5-methyl-",C7H10O2,NIST17.L,1008597.12517975,139415.331927292,Sample,72101388
True,4.11079905099228,97.0999984741211,2274-11-5,1131,777.126427778026,66.9305904302892,Ethylene diacrylate,C8H10O4,NIST17.L,2360081.59971542,221515.322505645,Sample,72101388
True,4.11766910692964,69,1000266-61-0,1338,777.483671044012,57.4342638963151,"Octa-3,5-diene-2,7-dione, 4,5-dihydroxy-",C8H10O4,NIST17.L,789281.12974502,407603.831339355,Sample,72101388
True,4.15182460141545,165,29907-70-8,1620,779.259758533362,50.0059711119141,"2-Propanone, 1-(2,5-dimethoxy-4-methylphenyl)-",C12H16O3,NIST17.L,138882.502724426,10099.824540077,Sample,72101388
True,4.34301692043393,71.0999984741211,1000191-74-2,1157,789.201769064333,64.5962714691554,"3-Methyl-6-(methylthio)hexa-1,5-dien-3-ol",C8H14OS,NIST17.L,76085.2542719038,31645.4824685217,Sample,72101388
True,4.34368403539581,71,471-46-5,1039,789.236459077041,68.9056962900909,Ethanediamide,C2H4N2O2,NIST17.L,75341.8907142732,31645.4824685217,Sample,72101388
True,4.40253778732909,83.0999984741211,3726-47-4,791,792.29685723797,84.3494082524021,"Cyclopentane, 1-ethyl-3-methyl-",C8H16,NIST20.L,174489.937300033,40303.4941187217,Sample,72101388
True,4.615427964203,83.0999984741211,1678-91-7,836,803.367157505713,85.0825680414348,"Cyclohexane, ethyl-",C8H16,NIST17.L,133476.030331613,47470.4631784603,Sample,72101388
True,4.91729203071883,118,79815-20-6,1610,819.064104661484,51.3039178039973,(-)-Indoline-2-carboxylic acid,C9H9NO2,NIST17.L,19663.55226521,4110.65800306695,Sample,72101388
True,5.15375,89,1000337-37-7,1649,831.359931359931,54.9109265792417,"Oxazole, 5-(4-nitrophenyl)-",C9H6N2O3,NIST17.L,1943.44925135814,879.219824794547,Sample,72101388
True,5.20278599274794,77.0999984741211,29743-27-9,868,833.909805532698,61.029786661729,"4,6-Heptadiyn-3-one",C7H6O,NIST17.L,395668.899348181,174538.205473545,Sample,72101388
True,5.37280656151794,91,108-38-3,866,842.750883949817,98.0907492794118,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,21706341.807915,8843131.25364378,Sample,72101388
True,5.87913436698851,74,598-50-5,828,869.079956163358,53.8003415690657,"Urea, methyl-",C2H6N2O,NIST17.L,74564.0415828307,24381.761717114,Sample,72101388
True,5.88766389526429,91,108-38-3,866,869.523492077235,97.8560682014194,"1,3-Dimethylbenzene",C8H10,Tesla_Libary_2021_01_01.mslibrary.xml,7433354.63885628,3010280.51445386,Sample,72101388
True,5.8898654963721,77,10165-13-6,550,869.637975449325,81.3550702589615,"Ethylenimine, N-chloro-",C2H4ClN,NIST17.L,826910.336710763,396143.330983091,Sample,72101388
True,6.69005823045929,79.0999984741211,127-00-4,703,911.248039231922,58.4923708500514,"2-Propanol, 1-chloro-",C3H7ClO,NIST17.L,24786.6594818409,16081.4020961914,Sample,72101388
True,6.96110958567793,83.0999984741211,498-62-4,1003,925.342723797976,63.0448372424804,3-Thiophenecarboxaldehyde,C5H4OS,NIST17.L,64948.1586793315,6741.20333648687,Sample,72101388
True,7.02891421398505,58,75-31-0,477,928.868567995791,79.4248416391551,2-Propanamine,C3H9N,NIST17.L,23835.1727245512,15571.9752313933,Sample,72101388
True,7.09182704485146,57.0999984741211,25843-45-2,,932.140038472314,59.0250289635187,"Diazene, dimethyl-, 1-oxide",C2H6N2O,NIST20.L,83772.3013050242,27671.3508381558,Sample,72101388
True,7.09669392370528,61,628-68-2,1283,932.393116425791,63.5579469133153,"Ethanol, 2,2'-oxybis-, diacetate",C8H14O5,NIST17.L,115441.833035443,6153.18278684078,Sample,72101388
True,7.3379885274153,91,104-63-2,1434,944.940448366044,78.2067173673922,"Ethanol, 2-[(phenylmethyl)amino]-",C9H13NO,NIST17.L,56422.0343413552,50691.1446347356,Sample,72101388
True,7.537719402099,120,3647-71-0,1864,955.326464235612,65.5051081638335,N-Benzyl-2-phenethylamine,C15H17N,NIST17.L,166347.107968698,64341.7773064937,Sample,72101388
True,8.10381906377165,207,1000443-79-6,2124,984.763676079802,65.0484123536656,"1-(3,5-Di-tert-butyl-2,6-dihydroxyphenyl)ethanone",C16H24O3,NIST17.L,11040.1242757999,2672.42657949558,Sample,72101388
True,8.23038483772165,56,29240-35-5,1572,991.345102906629,67.0294763773508,Isobutyl 4-cyano-benzoate,C12H13NO2,NIST17.L,21597.3732706191,5119.47757041127,Sample,72101388
True,8.24978518386357,91,1000139-15-5,690,992.353921914828,69.339360223704,"endo-3-Methylenetricyclo[3.2.1.0(2,4)]oct-6-ene",C9H10,NIST17.L,118640.443151061,29201.2555544435,Sample,72101388
