Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.10160993117853,111.099998474121,18794-30-4,1252,786.598668637924,51.7943038840471,"Pyridine, 3-[(1,1-dimethylethyl)thio]-",C9H13NS,NIST17.L,114259.722412924,36937.7896797902,Blank,BW_2021_01_15_2
True,4.11241164865616,86,7422-90-4,697,787.149971222304,71.0364432612895,"Acetaldehyde, dimethylhydrazone",C4H10N2,NIST17.L,203027.657359664,114878.181102862,Blank,BW_2021_01_15_2
True,4.12194955931716,69.0999984741211,75011-90-4,1109,787.636771104626,55.7410721985674,"1H-Pyrazole, 4,5-dihydro-5-propyl-",C6H12N2,NIST17.L,120027.907294921,35358.7850465088,Blank,BW_2021_01_15_2
True,4.1556438947791,119,304667-87-6,3402,789.356476721588,56.2713494560779,"Benzhydrazide, 2-benzoyl-N2-(4-methylbenzoyl)-",C22H18N2O3,NIST17.L,120702.101765927,61944.8399184569,Blank,BW_2021_01_15_2
True,4.15610876360143,207,54699-35-3,1910,789.380202891401,69.4312204290478,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,NIST17.L,3468809.77302555,1483444.63953058,Blank,BW_2021_01_15_2
True,4.15612891099643,208,17590-58-8,1759,789.381231182593,52.2600272953885,"1,3-Dithiane, 2-(phenylmethylene)",C11H12S2,NIST17.L,958771.958388193,428203.054626984,Blank,BW_2021_01_15_2
True,4.19529696589101,84,7422-82-4,709,791.380306786377,70.642679363541,"Hydrazine, 1-methyl-1-(2-propynyl)-",C4H8N2,NIST17.L,803759.578984082,833469.041250667,Blank,BW_2021_01_15_2
True,4.19658549354343,206.900009155273,54699-35-3,1910,791.446071200813,73.2831858008711,"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",C11H10O6,NIST17.L,3016243.51658972,1483444.63953058,Blank,BW_2021_01_15_2
True,4.22887639301073,51,95-82-9,1352,793.094147663203,58.7841848570605,"Benzenamine, 2,5-dichloro-",C6H5Cl2N,NIST17.L,236246.035423324,136889.791903474,Blank,BW_2021_01_15_2
True,4.3576533764117,133,1000110-59-2,1905,799.666721321473,51.9422110445037,"2,3,4,5-Tetrahydro-5-(2-hydroxyethyl)-1,5-benzodiazepine-2-one",C11H14N2O2,NIST17.L,51026.7524381787,35838.9566972072,Blank,BW_2021_01_15_2
True,4.39309513061951,88,3261-87-8,1257,801.475612428853,51.9047909885508,Thiodiglycolic anhydride,C4H4O3S,NIST17.L,9262.05018936606,3025.60117301697,Blank,BW_2021_01_15_2
True,4.43398964930109,86,621-56-7,1171,803.56280401508,51.5025416980547,"3-(Diethylamino)-1,2-propanediol",C7H17NO2,NIST17.L,41793.9367708932,10573.8019443359,Blank,BW_2021_01_15_2
True,4.46096577075085,87,10526-21-3,1043,804.939622609214,65.9250917951133,"Ethanol, 1,1'-oxybis-, diacetate",C8H14O5,NIST17.L,18420.2502251777,10645.495477447,Blank,BW_2021_01_15_2
True,4.51160683903126,207,63498-93-1,1724,807.524262679328,55.2669157677072,"8-Isopropyl-5-methyl-5,6,7,8-tetrahydro-2,4-quinazolinedione",C12H18N2O2,NIST17.L,1793439.53089245,2011453.36806546,Blank,BW_2021_01_15_2
True,4.5337,132,105-55-5,1301,808.651862689641,63.2009866199029,"Thiourea, N,N'-diethyl-",C5H12N2S,NIST17.L,6958.58963246768,5732.0605957029,Blank,BW_2021_01_15_2
True,4.54784655585052,119,527-53-7,1117,809.373880536952,55.148918246623,"Benzene, 1,2,3,5-tetramethyl-",C10H14,NIST17.L,40989.7294094247,36244.1353508656,Blank,BW_2021_01_15_2
True,4.59118278070365,176.900009155273,1000344-71-7,1908,811.585692946253,59.1356540694797,"Isophthalic acid, ethyl 3-methylbut-2-yl ester",C15H20O4,NIST17.L,76719.9541474954,59648.8038348808,Blank,BW_2021_01_15_2
True,4.61173788573743,133.899993896484,1000454-61-1,1828,812.634793013051,60.3124571651316,7-(Acetyl)oxycoumarin,C11H8O4,NIST17.L,49222.528169715,16455.5204323302,Blank,BW_2021_01_15_2
True,4.65013555803473,133,69999-16-2,1605,814.594549506914,56.0016754467133,"2,3-Dihydro-1-benzofuran-5-ylacetic acid",C10H10O3,NIST17.L,11997.8635800165,7211.5639704662,Blank,BW_2021_01_15_2
True,4.65076355936691,190.900009155273,92174-46-4,3062,814.626601702146,55.1299964163135,"9-Phenanthrenemethyl 2,6-dimethylbenzoate",C24H20O2,NIST17.L,308973.849514044,112010.038096924,Blank,BW_2021_01_15_2
True,4.66507562286236,176,1000417-70-7,938,815.357066798014,64.2829613637984,"Ethane-1,2-diamine, N,N,N'-tris(pentafluoropropionyl)-",C11H5F15N2O3,NIST17.L,37643.4968477906,9401.45049813809,Blank,BW_2021_01_15_2
True,4.69839435577802,91.0999984741211,1000317-25-8,3229,817.057602254778,60.4897838931962,"Benzoic acid, 4-[3-(3,4-dimethoxyphenyl)acryloylamino]-, pentyl ester",C23H27NO5,NIST17.L,580309.673970005,94495.0235057741,Blank,BW_2021_01_15_2
True,4.70809297793728,177,1793-07-3,,817.552604597914,64.9043133969544,2-Carbomethoxyphenyl isocyanate,C9H7NO3,NIST20.L,4093.8366469675,1229.90944478419,Blank,BW_2021_01_15_2
True,4.75999129226406,91.0999984741211,18115-70-3,,820.201412518742,77.1847557516696,"2,4-Pentanedione, ion(1-), lithium",C5H7LiO2,NIST20.L,136686.010071346,94495.0235057741,Blank,BW_2021_01_15_2
True,4.90219374758311,123,18387-62-7,752,827.459201040323,80.5987437081245,5-Trimethylsilylpent-2-en-4-yne,C8H14Si,NIST17.L,40718.6972465899,32243.3495264239,Blank,BW_2021_01_15_2
True,4.94836403626906,91,108-38-3,866,829.815659587478,96.5073329994558,"Benzene, 1,3-dimethyl-",C8H10,NIST17.L,861147.135608781,302241.46848325,Blank,BW_2021_01_15_2
True,4.94900550601538,91.0999984741211,18115-70-3,,829.848399189276,75.2197290322754,"2,4-Pentanedione, ion(1-), lithium",C5H7LiO2,NIST20.L,517189.648908392,302241.46848325,Blank,BW_2021_01_15_2
True,4.95965954718876,63,50893-53-3,804,830.392164608537,82.6044638516702,.alpha.-Chloroethyl chloroformate,C3H4Cl2O2,NIST17.L,58217.435997122,10880.6605132763,Blank,BW_2021_01_15_2
True,5.25585667047517,69.0999984741211,20474-93-5,882,845.509597543786,83.7292920315579,"2-Butenoic acid, 2-propenyl ester",C7H10O2,NIST17.L,173236.077276861,103537.423233404,Blank,BW_2021_01_15_2
True,5.25651478378459,83.0999984741211,86869-76-3,939,845.543186606734,82.0034066163163,"3-Octene, 2,2-dimethyl-",C10H20,NIST17.L,630309.770171168,104919.37347739,Blank,BW_2021_01_15_2
True,5.25680442093087,83,1120-06-5,1200,845.557969228812,83.215548034612,2-Decanol,C10H22O,NIST17.L,569883.658941321,104919.37347739,Blank,BW_2021_01_15_2
True,5.3522023456906,73,1000433-29-0,2366,850.426928500651,53.4322985062351,"(2E,6E,10E,15E)-6,10-Bis(trimethylsilylmethyl)-2,6,10,14-hexadecatetraene",C26H50Si2,NIST17.L,15350.7046499448,12813.2125319711,Blank,BW_2021_01_15_2
True,5.51502348535355,91,108-38-3,866,858.73706207651,87.8868894237549,m-Xylene,C8H10,Tesla_Libary_2021_01_01.mslibrary.xml,162240.014741913,81586.3192024673,Blank,BW_2021_01_15_2
True,5.54589257755234,69,167408-67-5,1390,860.312571743551,80.1084479238764,"Cyclopropanebutanoic acid, 2,4-dioxo-, methyl ester",C8H10O4,NIST17.L,68625.5817483673,32978.0788629684,Blank,BW_2021_01_15_2
True,5.63435438830493,124,358-06-5,582,864.827522721281,61.4467141560173,"Silane, diethyldifluoro-",C4H10F2Si,NIST17.L,768582.446718931,167268.697857996,Blank,BW_2021_01_15_2
True,5.63903519646878,123,1000154-28-6,944,865.066423770402,95.6572857467737,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,NIST17.L,3708300.76666463,1596362.09502617,Blank,BW_2021_01_15_2
True,5.6665984732181,63.0999984741211,670-54-2,1561,866.473209842833,51.1049371183507,Tetracyanoethylene,C6N4,NIST17.L,6778.97805321178,2081.88527181357,Blank,BW_2021_01_15_2
True,5.69155365926001,105,1074-55-1,1040,867.746883088507,66.3094534578754,"Benzene, 1-methyl-4-propyl-",C10H14,NIST17.L,3817.99576557967,4104.61628874198,Blank,BW_2021_01_15_2
True,5.73850046407581,84,55320-57-5,916,870.142973791389,80.9141291706495,"Hexanal, 3,3-dimethyl-",C8H16O,NIST17.L,115539.837003088,34460.3810518176,Blank,BW_2021_01_15_2
True,5.84199008260074,77,1000427-10-9,988,875.424920321411,54.2889256014231,"3-(Dimethylfluorosilyl)-3,7-dimethyl-1,6-octadiene",C12H23FSi,NIST17.L,621627.278343325,423749.715588953,Blank,BW_2021_01_15_2
True,5.87571040645832,105,18794-49-5,1267,877.145952345003,67.4057500526926,"4-Pyridinemethanol, 3-methyl-, acetate (ester)",C9H11NO2,NIST17.L,79434.4147743687,118742.320428596,Blank,BW_2021_01_15_2
True,5.90099767610194,104,100-42-5,893,878.43657461274,85.2040795898326,Styrene,C8H8,NIST17.L,8119720.14315692,3447688.90271107,Blank,BW_2021_01_15_2
True,5.98698221804508,78,19847-12-2,946,882.825089706577,69.3380619883736,Cyanopyrazine,C5H3N3,NIST17.L,1209060.3705676,638110.513556933,Blank,BW_2021_01_15_2
True,6.12942850201098,82,300-87-8,770,890.095322856841,73.9884438190057,"Isoxazole, 3,5-dimethyl-",C5H7NO,NIST17.L,67197.3585596567,46321.0525252845,Blank,BW_2021_01_15_2
True,6.14551354558192,84,1000152-79-7,905,890.916278052983,89.7469818099776,"Cyclopentane, 1,2,3,4,5-pentamethyl-",C10H20,NIST17.L,1611167.26004091,456284.495670328,Blank,BW_2021_01_15_2
True,6.14639943298861,69,116465-21-5,669,890.961492345783,63.1894877620737,"1,2,2-Trimethylpropyl trifluoroacetate",C8H13F3O2,NIST17.L,529477.625995336,172668.506519801,Blank,BW_2021_01_15_2
True,6.18872546490439,95,20744-39-2,980,893.121746104505,67.7961558759566,4-Pyridazinamine,C4H5N3,NIST17.L,612896.372428353,293365.671606807,Blank,BW_2021_01_15_2
True,6.1905508900394,67,22531-00-6,914,893.214912917709,65.1820686133692,"Cyclopentene,3-butyl-",C9H16,NIST17.L,1486447.40664428,256274.409363994,Blank,BW_2021_01_15_2
True,6.19230131965664,123,1000154-28-6,944,893.304252078242,96.1423310557243,"Cyclopentene, 1,2,3,4,5-pentamethyl-",C10H18,NIST17.L,8480028.39704593,3917521.26579456,Blank,BW_2021_01_15_2
True,6.29218691651252,97.0999984741211,82147-26-0,1143,898.40225503962,83.6832064275144,4-Propyl-2-hydroxycyclopent-2-en-1-one,C8H12O2,NIST17.L,59375.9569180175,48788.3438272689,Blank,BW_2021_01_15_2
True,6.31205446197878,87,6192-44-5,1427,899.416263153007,59.9979183779271,"Ethanol, 2-phenoxy-, acetate",C10H12O3,NIST17.L,3450.95734699167,1111.27630248058,Blank,BW_2021_01_15_2
True,6.34119887644963,97,1000190-08-8,1170,900.903747995235,50.3169898114841,2-Ethoxy-4-methyl-pent-2-enoic acid,C8H14O3,NIST17.L,5366.0446902854,5148.62261558505,Blank,BW_2021_01_15_2
True,6.41349675434973,70.0999984741211,288-94-8,,904.593717392604,88.3868998378779,1H-Tetrazole,CH2N4,NIST20.L,94829.243581704,59396.9493114254,Blank,BW_2021_01_15_2
True,6.41879158755675,70,51174-12-0,799,904.86395730926,61.9094890959314,"2,4,4-Trimethyl-1-hexene",C9H18,NIST17.L,277841.189722226,59396.9493114254,Blank,BW_2021_01_15_2
True,6.47151844392123,82.0999984741211,28711-29-7,1209,907.555052705908,74.4469985551764,"1,2,4-Triazol-1-ylacetic acid",C4H5N3O2,NIST17.L,164054.88697731,12358.3715681458,Blank,BW_2021_01_15_2
True,6.47156654966082,83.0999984741211,1000152-79-7,905,907.557507946809,62.1344921979052,"Cyclopentane, 1,2,3,4,5-pentamethyl-",C10H20,Tesla_Libary_2021_01_01.mslibrary.xml,272309.420466173,64411.441214735,Blank,BW_2021_01_15_2
True,6.47250521935134,83,1000152-79-7,905,907.605416163937,64.6953157957708,"Cyclopentane, 1,2,3,4,5-pentamethyl-",C10H20,Tesla_Libary_2021_01_01.mslibrary.xml,211713.282518363,64411.441214735,Blank,BW_2021_01_15_2
True,6.59753960275665,82.0999984741211,6970-56-5,1151,913.986973434843,67.0609638772852,"2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-",C8H12O2,NIST17.L,1640.91276913273,1002.64589166259,Blank,BW_2021_01_15_2
True,6.69443323445457,98,2497-21-4,855,918.932271224348,59.4777394274714,4-Hexen-3-one,C6H10O,NIST17.L,53938.0932647495,12347.8207747551,Blank,BW_2021_01_15_2
True,6.69459157214637,207,1000310-35-2,1641,918.940352529832,72.4102232867557,"Thiophen-2-methylamine, N-(2-fluorophenyl)-",C11H10FNS,NIST17.L,206658.243952744,168700.424814941,Blank,BW_2021_01_15_2
True,6.69472308275309,97.0999984741211,1000309-22-7,2163,918.947064623303,76.2905776702355,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,NIST17.L,124849.80708731,30377.5957780959,Blank,BW_2021_01_15_2
True,6.74304025259825,123,136-77-6,,921.41309659097,64.3929618282743,Hexylresorcinol,C12H18O2,SWGDRUG.L,35155.7038876678,17501.1023437501,Blank,BW_2021_01_15_2
True,6.94379578153113,97.0999984741211,1678-82-6,981,931.659341427348,87.3193099400822,"Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-",C10H20,NIST17.L,924421.806416817,424476.399972269,Blank,BW_2021_01_15_2
True,6.94965653797818,81,1000432-35-5,868,931.958465171546,62.5831142124631,"5-Ethoxy-3-methyl-1,3-pentadiene",C8H14O,NIST17.L,63125.9999911144,19925.0924271607,Blank,BW_2021_01_15_2
True,7.04326431256633,70,288-94-8,,936.736058008549,81.9766229731208,1H-Tetrazole,CH2N4,NIST20.L,45572.7281877109,24389.2779113209,Blank,BW_2021_01_15_2
True,7.46940169518236,137,699-83-2,1470,958.485436366525,59.659607204058,"Resorcinol, 2-acetyl-",C8H8O3,NIST17.L,49352.568305373,21398.8394821674,Blank,BW_2021_01_15_2
True,7.53767033395462,209,1000351-42-7,2945,961.969759768351,67.8220750165482,"Bicyclo[2.2.1]heptane-2-acetamide, N-(1,3-dihydro-5,6-dimethoxy-3-oxo-4-isobenzofuranyl)-",C19H23NO5,NIST17.L,262742.090645011,104078.605806885,Blank,BW_2021_01_15_2
True,7.5706838016518,87,5429-56-1,1242,963.654714970936,60.2780946160214,"2-Propenoic acid, 2-(acetylamino)-",C5H7NO3,NIST17.L,40761.7534624629,15019.3357456088,Blank,BW_2021_01_15_2
True,7.5944538646759,194,935-52-4,,964.867901411259,66.017005119422,"4-Ethyl-2,6,7-trioxa-1-phosphabicyclo[2.2.2]octane 1-sulphide",C6H11O3PS,NIST20.L,8734.26419448225,5397.56524414557,Blank,BW_2021_01_15_2
True,7.70272768279671,76,1000431-41-9,857,970.394025925648,54.2151220588889,Isopropyl pyruvate,C6H10O3,NIST17.L,22811.6851002026,1708.49218615721,Blank,BW_2021_01_15_2
True,7.71133457188684,129,2035-08-7,851,970.83330793878,65.4080507297656,"1,3-Dioxolane, 2-methyl-2-(2-methylpropyl)-",C8H16O2,NIST17.L,27450.5334138263,11864.6904165326,Blank,BW_2021_01_15_2
