Best Hit,Component RT,Base Peak MZ,CAS#,Library RI,Component RI,Match Factor,Compound Name,Formula,Library File,Component Area,Base Peak Area,Type,Comment
True,4.07052885142326,166,127-18-4,814,778.405608394169,89.0732095857985,Tetrachloroethylene,C2Cl4,NIST17.L,317447.174365071,40692.3565895258,Blank,BW_2021_11_04
True,4.09244507731592,67,703-13-9,762,779.546687237412,65.5430548458833,"Trifluoroacetic acid, cyclopentyl ester",C7H9F3O2,NIST17.L,156694.496650869,56737.4921549313,Blank,BW_2021_11_04
True,4.09285334976826,57.0999984741211,30563-30-5,974,779.56794413903,68.2984756838427,"4-Penten-1-ol, propanoate",C8H14O2,NIST17.L,251472.034623779,77879.4759820109,Blank,BW_2021_11_04
True,4.11238008124365,70,1768-37-2,676,780.584612806044,58.2247440521062,"Cyanic acid, 1-methylethyl ester",C4H7NO,NIST17.L,559377.39415493,146884.191871013,Blank,BW_2021_11_04
True,4.21470478802956,61,123-86-4,812,785.912197885079,82.6684286387546,"Acetic acid, butyl ester",C6H12O2,NIST17.L,1554101.6831828,877527.845334889,Blank,BW_2021_11_04
True,4.26879119579082,83.0999984741211,57803-73-3,995,788.728232721811,85.2474297334803,(S)-(+)-5-Methyl-1-heptanol,C8H18O,NIST17.L,593030.616402427,136400.88299855,Blank,BW_2021_11_04
True,4.27558184656613,83,1000383-67-8,1039,789.081791220866,78.0424777803672,Butyl tiglate 3-methyl-2-,C10H18O2,NIST17.L,399695.566499338,136400.88299855,Blank,BW_2021_11_04
True,4.35783098507752,206.900009155273,541-05-9,851,793.364132180939,95.0062527776579,"Cyclotrisiloxane, hexamethyl-",C6H18O3Si3,NIST17.L,755419.755416711,376852.665799805,Blank,BW_2021_11_04
True,4.39415243292982,97.0999984741211,1119-44-4,937,795.25522583471,63.5635512841384,3-Hepten-2-one,C7H12O,NIST17.L,113236.632780612,19865.0621980062,Blank,BW_2021_11_04
True,4.40693643704388,89,21983-72-2,821,795.92083115827,71.350844740491,"3,3-Dimethoxy-2-butanone",C6H12O3,NIST17.L,86643.5396084552,28764.9197425167,Blank,BW_2021_11_04
True,4.80642151085088,89,21983-72-2,821,816.720213686327,75.2091416731206,"3,3-Dimethoxy-2-butanone",C6H12O3,NIST20.L,155815.588166211,73468.8194636761,Blank,BW_2021_11_04
True,4.93097864205035,103,75-69-4,473,823.205340636694,74.8592720246781,Trichloromonofluoromethane,CCl3F,NIST17.L,96409.8313420851,48024.4084738225,Blank,BW_2021_11_04
