InChiKey_GC_Name,ID_UALib,Name1_UALib,Name2_UALib,CAS_UALib,Formel_UALib,BPMZ_UALib,RT_UALib,RI_UALib,MW_UALib,Bem_UALib,MF_UALib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFISDBXSWQMOND-UHFFFAOYSA-N,2,"2,5-Dimethoxyoxolane","Furan, tetrahydro-2,5-dimethoxy-",696-59-3,C6H12O3,101,5.6868,894,132.0786442,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPYNZHMRTTWQTB-UHFFFAOYSA-N,4,"2,3-Dimethylpyridine","2,3-Dimethylpyridine",583-61-9,C7H9N,107,6.9612,909,107.0734993,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC_BPMZ_77_RI_979,5,,GC_BPMZ_77_RI_979,,,77,7.684,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZPQOPVIELGIULI-UHFFFAOYSA-N,8,"1,3-Dichlorobenzene","1,3-Dichlorobenzene",541-73-1,C6H4Cl2,146,8.4986,1012,145.9690055,LHKW-Std,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGJRNTLDWLTHCQ-UHFFFAOYSA-N,9,"2,3-Dimethylnonane","2,3-Dimethylnonane",2884-06-2,C11H24,71,8.7923,1054,156.1878,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRQYJINTUHWNHW-UHFFFAOYSA-N,10,1-Ethoxy-2-(2-ethoxyethoxy)ethane,Diethylene glycol diethyl ether,112-36-7,C8H18O3,59,9.0098,1058,162.1255944,Diethyldiethylene glycol,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLQBSKLZRSUMTJ-UHFFFAOYSA-N,12,2-(Methylsulfanyl)pyridine,"Pyridine, 2-(methylthio)-",18438-38-5,C6H7NS,124,10.2894,1083,125.0299204,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRYDPLOWJSFQAE-UHFFFAOYSA-N,16,2-tert-Butylcyclohexan-1-one,2-tert-Butylcyclohexanone,1728-46-7,C10H18O,98,11.1864,1141,154.1357652,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMBSSVKZOPZBKW-UHFFFAOYSA-N,17,5-Methylpyridin-2-amine,6-Amino-3-methylpyridine,1603-41-4,C6H8N2,108,11.5954,1118,108.0687483,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTWBMHADAJAAZ-DTWKUNHWSA-N,19,"(1R,2R)-2-tert-Butylcyclohexan-1-ol","Cyclohexanol, 2-(1,1-dimethylethyl)-, (1R,2R)-rel-",7214-18-8,C10H20O,82,11.8292,1203,156.1514153,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
