Pr_Kennung,BW_Zuordnung,Alkane_Zuordg,File_name,Name,Sample Group,Acq_Date_Time
BW_2021_01_15_2,BW_2021_01_15_2,Alkane_2020_12_14,Sc_BW_2021_01_15b.D,Sc_BW_21_01_14,,1/15/2021 5:47
72100121,BW_2021_01_15,Alkane_2020_12_14,Sc_72100121_AT_500_IS50.D,Sc_72100121_AT_500_IS50,,1/21/2021 23:26
BW_2021_02_22,BW_2021_02_22,Alkane_2020_12_14,Sc_BW_2021_02_22_500_50IS_AT.D,Sc_BW_500_50IS_AT_2202,,2/22/2021 16:43
72100318,BW_2021_02_22,Alkane_2020_12_14,Sc_72100318_500_50IS_AT.D,Sc_72100318_500_50IS_AT,,2/22/2021 17:25
BW_2021_03_15,BW_2021_03_15,Alkane_2021_03_11,Sc_BW_2021_03_15_500ml_AT.D,Sc_BW_2021_03_15_500ml_AT,,3/18/2021 21:45
72100530,BW_2021_03_15,Alkane_2021_03_11,Sc_72100530_500mlL_AT.D,Sc_72100530_500mlL_AT,,3/18/2021 23:09
BW_2021_04_12,BW_2021_04_12,Alkane_2021_04_15,Sc_BW_2021_04_12_500mL_AT.D,Sc_BW_2021_04_12_500mL_AT,,4/19/2021 14:47
72100736,BW_2021_04_12,Alkane_2021_04_15,Sc_72100736_500mL_AT.D,Sc_72100736_500mL_AT,,4/19/2021 16:20
BW_2021_05_20,BW_2021_05_20,Alkane_2021_05_25,Sc_BW_2021_05_20_AT_500mL_ETAC.D,Sc_BW_2021_05_20_AT_500mL_ETAC,,5/25/2021 12:51
72101014,BW_2021_05_20,Alkane_2021_05_25,Sc_72101014_AT_500mL_ETAC.D,Sc_72101014_AT_500mL_ETAC,,5/25/2021 14:24
BW_2021_06_23,BW_2021_06_23,Alkane_2021_07_19,Sc_BW_2021_06_23_500ml_AT_ETAC.D,Sc_BW_2021_06_23_500ml_AT_ETAC,,7/19/2021 14:56
72101388,BW_2021_06_23,Alkane_2021_07_19,Sc_72101388_500ml_AT_ETAC.D,Sc_72101388_500ml_AT_ETAC,,7/19/2021 15:43
BW_2021_07_13,BW_2021_07_13,Alkane_2021_07_19,Sc_BW_2021_07_13_500ml_AT_ETAC.D,Sc_BW_2021_07_13_500ml_AT_ETAC,,7/19/2021 16:29
72101595,BW_2021_07_13,Alkane_2021_07_19,Sc_72101595_500ml_AT_ETAC.D,Sc_72101595_500ml_AT_ETAC,,7/19/2021 18:03
BW_2021_08_16,BW_2021_08_16,Alkane_2021_08_16,Sc_BW_2021_08_16_500ml_AT_ETAC.D,Sc_BW_2021_08_16_500ml_AT_ETAC,,8/16/2021 12:05
72102029,BW_2021_08_16,Alkane_2021_08_16,Sc_62102470_500ml_AT_ETAC.D,Sc_62102470_500ml_AT_ETAC,,8/16/2021 13:38
BW_2021_09_16,BW_2021_09_16,Alkane_2021_09_16,Sc_BW_2021_09_16_500ml_AT_ETAC.D,Sc_BW_2021_09_16_500ml_AT_ETAC,,9/16/2021 15:48
72102278,BW_2021_09_16,Alkane_2021_09_16,Sc_72102278_500ml_AT_ETAC.D,Sc_72102278_500ml_AT_ETAC,,9/16/2021 20:28
BW_2021_11_04,BW_2021_11_04,Alkane_2021_11_04,Sc_BW_2021_11_04_500ml_AT_ETAC.D,Sc_BW_2021_11_04_500ml_AT_ETAC,,11/4/2021 13:28
72102609,BW_2021_11_04,Alkane_2021_11_04,Sc_72102609_500ml_AT_ETAC.D,Sc_72102609_500ml_AT_ETAC,,11/4/2021 18:08
BW_2021_11_24,BW_2021_11_24,Alkane_2021_11_24,Sc_BW_2021_11_24_500ml_AT_ETAC.D,Sc_BW_2021_11_24_500ml_AT_ETAC,,11/24/2021 14:51
72102861,BW_2021_11_24,Alkane_2021_11_24,Sc_72102861_500ml_AT_ETAC.D,Sc_72102861_500ml_AT_ETAC,,11/24/2021 17:56
BW_2021_12_15,BW_2021_12_15,Alkane_2021_12_15,Sc_BW_2021_12_15_500ml_AT_ETAC.D,Sc_BW_2021_12_15_500ml_AT_ETAC,,12/15/2021 15:08
72103119,BW_2021_12_15,Alkane_2021_12_15,Sc_72103119_500ml_AT_ETAC.D,Sc_72103119_500ml_AT_ETAC,,12/15/2021 18:14
