Pr_Kennung,Thema,LM,Vorbereitung_Meth,RT_IS_Pr,RI_IS_Pr,IS_Area_Peak,IS_Area_BasePeak,V_Extraktion_mL,Verdg_im_Vial,IS_Volumen_ml,InjektionsVolumen_ml
BW_2021_01_15,,DCM,SPE,14.9891,1378,3387843,1311841,1000,1,0.05,0.001
72100121,Tesla,DCM,SPE,14.9922,1378,3057714,978623,500,1,0.05,0.001
BW_2021_02_22,,DCM,SPE,15.0055,1382,2724784,1140225,1000,1,0.05,0.001
72100318,Tesla,DCM,SPE,15.0025,1382,3403841,1314336,500,1,0.05,0.001
BW_2021_03_15,,DCM,SPE,15.0048,1382,3160754,1320365,1000,1,0.05,0.001
72100530,Tesla,DCM,SPE,15.001,1382,2918702,1027614,500,1,0.05,0.001
BW_2021_04_12,,DCM,SPE,15.0011,1382,4639941,1845469,1000,1,0.05,0.001
72100736,Tesla,DCM,SPE,14.9979,1382,4443550,1549452,500,1,0.05,0.001
BW_2021_05_20,,ETAC,SPE,15.0106,1382,6770070,2635699,1000,1,0.05,0.001
72101014,Tesla,ETAC,SPE,15.0117,1382,7415940,2570065,500,1,0.05,0.001
BW_2021_06_23,,ETAC,SPE,15.0047,1381,5201197,1893553,1000,1,0.05,0.001
72101388,Tesla,ETAC,SPE,15.0051,1381,3539984,1416426,500,1,0.05,0.001
BW_2021_07_13,,ETAC,SPE,15.0033,1381,2017844,803682,1000,1,0.05,0.001
72101595,Tesla,ETAC,SPE,15.0054,1382,3148847,1202748,500,1,0.05,0.001
BW_2021_08_16,,ETAC,SPE,15.0055,1382,2488492,978752,1000,1,0.05,0.001
72102029,Tesla,ETAC,SPE,15.0018,1381,3677232,1428558,500,1,0.05,0.001
BW_2021_09_16,,ETAC,SPE,15.0001,1382,2263410,889246,1000,1,0.05,0.001
72102278,Tesla,ETAC,SPE,14.9959,1382,3326568,1178186,500,1,0.05,0.001
BW_2021_11_04,,ETAC,SPE,14.9444,1382,4176576,1635344,1000,1,0.05,0.001
72102609,Tesla,ETAC,SPE,14.9302,1381,4397221,1421672,500,1,0.05,0.001
BW_2021_11_24,,ETAC,SPE,14.9575,1383,2594512,1043037,1000,1,0.05,0.001
72102861,Tesla,ETAC,SPE,14.9237,1381,4016535,1336490,500,1,0.05,0.001
BW_2021_12_15,,ETAC,SPE,14.961,1381,1962879,747559,1000,1,0.05,0.001
72103119,Tesla,ETAC,SPE,14.9584,1381,3710222,1221413,500,1,0.05,0.001
